"beta_intercept","beta_neg_pred_1","beta_neg_pred_2","beta_pos_pred_1","beta_pos_pred_2","tau","disp","AUC"
4.12072615360259,-0.867023706269131,-0.0912532698100302,-0.895676213068034,1.02844912143692,2.32030502097406,3.9113487872716,0.868
4.40616182388193,-0.86565416630899,-0.0298753348531474,-0.832261173806434,0.928300835973145,1.89878283837236,3.46130042642753,0.826
4.23010518054229,-0.844152957311511,0.0226403397822726,-0.834367987286979,1.06409460635231,2.17352360584349,5.01511212953862,0.853
3.90134654979971,-0.865494977312811,-0.191543803911879,-1.03176941352595,1.03033498524673,2.51578609634175,3.56879867408805,0.912
3.6970500823552,-0.863005465520531,-0.138721537916682,-0.854319816221125,1.16767480432199,2.41586423842495,3.64360682101494,0.955
4.34652441438635,-0.857769557331198,-0.0452840501323733,-0.874288694472659,1.07751715795442,2.21607883724861,4.19062838999746,0.899
3.80948130748436,-0.897487149591175,0.0370469737120799,-0.849747142287212,0.981650980048074,2.55263683358311,4.9146585145076,0.864
4.26302873939284,-0.867436731597518,-0.121231682508463,-0.865806887664695,1.07153796844606,2.21156185054389,4.09559702171944,0.889
4.10870841018474,-0.836106161822914,-0.0229106397715392,-0.98170107551399,0.938628655356547,2.55657483318916,3.79795389208128,0.854
3.84417765958451,-0.851859525626109,-0.234275333268719,-0.895613743995019,1.02830067682216,2.48219048339658,3.07917310699366,0.897
4.10096019260824,-0.847120187011751,-0.117892322243352,-0.958221749846756,1.11432254123922,2.4729167250737,3.6985316542421,0.899
