"beta_intercept","beta_neg_pred_1","beta_neg_pred_2","beta_pos_pred_1","beta_pos_pred_2","tau","disp","AUC"
3.86309525744861,-0.242817737157081,-0.838211126439971,-0.292891245636559,0.392059669751979,2.57483750940224,5.12837366468022,0.899
3.47615751583952,-0.253632563133221,-0.825123212949809,-0.288248032382458,0.439742573825227,2.89047622727484,4.58943328784987,0.885
3.41263624421535,-0.226670201170115,-0.693744747414589,-0.339790887727342,0.287351747502845,2.8705145084415,6.31518330995361,0.888
3.61672778687876,-0.226468230902077,-0.74568506267322,-0.313314114829434,0.285007359176807,2.89555880403447,5.10321880702309,0.856
3.49705762636495,-0.261169687469081,-0.842379310533227,-0.29394375426404,0.407375395207941,2.92599752048233,5.71750517930958,0.888
3.96512425031713,-0.213682412385855,-0.805077034976431,-0.371284506086113,0.374928116878759,2.46617757641597,4.33845298584786,0.878
4.14412631066119,-0.215750165308398,-0.852042655713848,-0.28170512053618,0.362926468500918,2.57560462800843,4.74625594438728,0.907
3.96301307986274,-0.260909571531678,-0.691540616906324,-0.266939737461125,0.342720514741095,2.4105494873053,5.95319810513681,0.913
3.60641500457113,-0.248625202942496,-0.781444774376082,-0.289892985956392,0.322822490007151,2.7554134072176,5.59691751338997,0.889
3.37408721863924,-0.233137067165982,-0.79228128192683,-0.297301292999715,0.542598904316336,3.10076735178143,5.43708871565871,0.923
4.37124043685571,-0.253752855352872,-0.837838980855997,-0.302460500611591,0.34716848272314,2.13604948428481,5.66682991111183,0.901
