"beta_intercept","beta_neg_pred_1","beta_pos_pred_1","tau","disp","AUC"
5.68695822868986,0.106489812013013,-0.912573943619149,0.659411424253083,4.48359561365783,0.877
5.69403878276816,0.0910058887579737,-0.899952047687835,0.646717659757123,4.61570065827675,0.871
5.65951129980453,0.123258842861477,-0.929918075080783,0.646313996915186,4.77609914507018,0.884
5.70242709288492,0.0805799595496602,-0.907300910952508,0.648329462233893,4.55725491191006,0.878
5.65464879635205,0.133193659461676,-0.961236051460329,0.678149326104162,4.40097603327215,0.897
5.6986109769647,-0.000795480855703591,-0.902777163884406,0.646558557036709,4.47671009701988,0.838
5.69231229807206,0.0484631614263939,-0.927690850702354,0.640734609344129,4.51500267389951,0.875
5.68831578634799,0.153446075451608,-0.912697699328054,0.672600490630753,4.13631186334664,0.881
5.70658634546872,0.0638549986254435,-0.923207193780843,0.670265358911882,4.43816779627898,0.87
5.66530564813496,0.154449475314696,-0.939865196447099,0.661658166060639,4.56006742768975,0.902
5.6961382740036,0.0940902277754845,-0.927345812113323,0.648147536416007,4.40625233590126,0.879
