"beta_intercept","beta_neg_pred_1","beta_pos_pred_1","tau","disp","AUC"
5.82536524020303,0.0876214716669346,-0.993716266892896,0.648372402943847,4.70875944903941,0.891
5.8153391732033,0.0599483713612438,-0.959362112007537,0.683229273308455,4.6934286105909,0.878
5.82830618262748,0.130756942297895,-0.98794711599242,0.66617696167961,4.83167653941704,0.914
5.85237781005024,0.098155475069052,-0.964714228954881,0.707395127634082,4.59561158613683,0.883
5.73270964017164,0.04156371777698,-0.942326930573128,0.673366196213658,5.10214081811653,0.867
5.82374053104624,0.0756506970465775,-0.968314856294186,0.652989290972807,4.77673867540036,0.887
5.80645869052184,0.0849553928617903,-1.08680909783643,0.690364431521038,3.94603594759645,0.893
5.80392890765126,0.121556748529709,-0.871779038416154,0.648057543681636,5.83040976040915,0.889
5.82468807502622,0.0617497389157274,-0.979698077027116,0.670534938539277,5.25986967028314,0.896
5.83105881772211,0.0588559728025619,-0.957096923725777,0.601998453873495,4.532165093959,0.877
5.80371456961394,0.0437756400904442,-0.937853736272096,0.59710700145872,4.73078320401689,0.869
